2021-11-08 19:16:24.978916	https://www.encodeproject.org/report/?type=Experiment&status=released&perturbed=false&assay_title=long+read+scRNA-seq&assay_title=scRNA-seq&assay_title=RNA+microarray&assay_title=long+read+RNA-seq&assay_title=total+RNA-seq&assay_title=polyA+plus+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&status%21=revoked&status%21=archived&audit.ERROR.category%21=mixed+strand+specificities&assembly=GRCh38&assembly=hg19&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR620LQN/	ENCSR620LQN	RNA-seq	total RNA-seq				Homo sapiens esophagus muscularis mucosa tissue female adult (51 years)	esophagus muscularis mucosa	GEO:GSE88409	The libraries contained in this Experiment come from tissue sub-sections of a 51 year old female's esophagal muscle tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF757RIO/,/files/ENCFF895LSY/,/files/ENCFF549SFG/,/files/ENCFF955ZGX/,/files/ENCFF005AEZ/,/files/ENCFF941KUQ/,/files/ENCFF761CHN/,/files/ENCFF234BPR/,/files/ENCFF591NTB/,/files/ENCFF477HXV/,/files/ENCFF233AGC/,/files/ENCFF294YXI/,/files/ENCFF120AEB/,/files/ENCFF639IKT/,/files/ENCFF356PWV/,/files/ENCFF454CAM/,/files/ENCFF391YGO/,/files/ENCFF193GNX/,/files/ENCFF366NYN/,/files/ENCFF811FUB/,/files/ENCFF973BSN/,/files/ENCFF588EDG/,/files/ENCFF936LYM/,/files/ENCFF764JRU/,/files/ENCFF700SGM/,/files/ENCFF249NNL/,/files/ENCFF898SYI/	/reference-epigenomes/ENCSR527XKV/	ENCBS072KNR	1	1		Homo sapiens	adult	51 years												/replicates/499e1412-5ef3-4ac2-98be-fd55bb01fad5/				
/experiments/ENCSR406SAW/	ENCSR406SAW	RNA-seq	total RNA-seq				Homo sapiens upper lobe of left lung tissue female adult (53 years)	upper lobe of left lung	GEO:GSE88254	The libraries contained in this Experiment come from tissue sub-sections of a 53 year old female's lung tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF226NNE/,/files/ENCFF483NBR/,/files/ENCFF959OZX/,/files/ENCFF472HTY/,/files/ENCFF667PCR/,/files/ENCFF381EDQ/,/files/ENCFF678YPA/,/files/ENCFF884NXO/,/files/ENCFF692ULG/,/files/ENCFF369VTK/,/files/ENCFF862VTJ/,/files/ENCFF471SRD/,/files/ENCFF100YWM/,/files/ENCFF053ZIE/,/files/ENCFF616CMY/,/files/ENCFF766MSI/,/files/ENCFF360GZR/,/files/ENCFF129QQA/,/files/ENCFF138OJH/,/files/ENCFF756MSA/,/files/ENCFF084EBC/,/files/ENCFF632MDK/,/files/ENCFF635JPN/,/files/ENCFF493OET/,/files/ENCFF871BDW/,/files/ENCFF461NIE/,/files/ENCFF588XFP/	/reference-epigenomes/ENCSR742VIW/	ENCBS596PXT	1	1		Homo sapiens	adult	53 years												/replicates/782b72f8-3197-4a66-951c-e2de88158b6a/				
/experiments/ENCSR019MXZ/	ENCSR019MXZ	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens HepG2 insoluble cytoplasmic fraction	HepG2	GEO:GSE87958	Initial insoluble fractions on HepG2 Long Poly-A+ from Lecuyer	Eric Lécuyer, IRCM	ENCODE	released	/files/ENCFF943VGE/,/files/ENCFF172FPW/,/files/ENCFF878ZZH/,/files/ENCFF117MYH/,/files/ENCFF084JYA/,/files/ENCFF755ORQ/,/files/ENCFF790CFB/,/files/ENCFF591YVX/,/files/ENCFF259BWK/,/files/ENCFF382JQD/,/files/ENCFF201ASI/,/files/ENCFF571XMK/,/files/ENCFF490AQJ/,/files/ENCFF169CQM/,/files/ENCFF955NWL/,/files/ENCFF966AYQ/,/files/ENCFF491LAP/,/files/ENCFF489OTC/,/files/ENCFF245JIV/,/files/ENCFF725WCE/,/files/ENCFF867OCD/,/files/ENCFF756DLL/,/files/ENCFF331HQY/,/files/ENCFF928NYN/,/files/ENCFF965DEO/,/files/ENCFF485FXS/,/files/ENCFF351XPC/,/files/ENCFF839DDE/,/files/ENCFF018PPF/,/files/ENCFF371EHR/,/files/ENCFF448ZPN/,/files/ENCFF321CNF/,/files/ENCFF618AYY/,/files/ENCFF927SSM/,/files/ENCFF383JHU/,/files/ENCFF226ZSS/,/files/ENCFF336WOX/,/files/ENCFF187HMA/,/files/ENCFF639YEU/,/files/ENCFF006QOZ/,/files/ENCFF812GYC/,/files/ENCFF181YLE/,/files/ENCFF607MJB/,/files/ENCFF708IOG/,/files/ENCFF800UTY/,/files/ENCFF568FDJ/,/files/ENCFF601JAF/,/files/ENCFF625DFO/,/files/ENCFF938MLR/,/files/ENCFF555PLO/,/files/ENCFF495AGH/,/files/ENCFF626VIR/,/files/ENCFF132KYL/,/files/ENCFF180CSI/		ENCBS132XIH,ENCBS638MWB	2,1	1		Homo sapiens	child	15 years												/replicates/443af8c7-5ed1-4930-b4f7-e1ca62c553ab/,/replicates/d498d6dd-c978-4ab5-8eb1-ec138468cb0a/		insoluble cytoplasmic fraction		
/experiments/ENCSR630VJN/	ENCSR630VJN	RNA-seq	total RNA-seq				Homo sapiens transverse colon tissue male adult (54 years)	transverse colon	GEO:GSE88418	The libraries contained in this Experiment come from tissue sub-sections from the transverse colon obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF411WXY/,/files/ENCFF543BVT/,/files/ENCFF989WBN/,/files/ENCFF765MBB/,/files/ENCFF428MEL/,/files/ENCFF699FLF/,/files/ENCFF715DRI/,/files/ENCFF408ZFR/,/files/ENCFF885HSL/,/files/ENCFF945JHL/,/files/ENCFF855ZFR/,/files/ENCFF824AAJ/,/files/ENCFF556OTB/,/files/ENCFF508STH/,/files/ENCFF762CXY/,/files/ENCFF845XSW/,/files/ENCFF014IOZ/,/files/ENCFF768NOL/,/files/ENCFF166IAV/,/files/ENCFF435BYH/,/files/ENCFF672VYQ/,/files/ENCFF329ENM/,/files/ENCFF540NQC/,/files/ENCFF746UUA/,/files/ENCFF699WAG/,/files/ENCFF322MDM/,/files/ENCFF366BBV/	/reference-epigenomes/ENCSR795WVC/	ENCBS668MJW	1	1		Homo sapiens	adult	54 years												/replicates/aa7ff7b6-5bf5-4f0d-a09c-8612c945df37/				
/experiments/ENCSR035SKV/	ENCSR035SKV	RNA-seq	total RNA-seq				Homo sapiens gastroesophageal sphincter tissue female adult (51 years)	gastroesophageal sphincter	GEO:GSE87978	The libraries contained in this Experiment come from tissue sub-sections from the esophagogastric junction obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF610XMR/,/files/ENCFF241TGO/,/files/ENCFF757DPD/,/files/ENCFF724WNO/,/files/ENCFF425MPW/,/files/ENCFF062IBI/,/files/ENCFF344INN/,/files/ENCFF026VTC/,/files/ENCFF595YRJ/,/files/ENCFF078HYS/,/files/ENCFF303BKD/,/files/ENCFF944JHJ/,/files/ENCFF557GQR/,/files/ENCFF699ISP/,/files/ENCFF529JKV/,/files/ENCFF697HER/,/files/ENCFF338HIM/,/files/ENCFF331PGD/,/files/ENCFF348EVV/,/files/ENCFF119BXK/,/files/ENCFF112WVN/,/files/ENCFF679EIY/,/files/ENCFF757VDY/,/files/ENCFF390GTC/,/files/ENCFF668OEI/,/files/ENCFF675HPA/,/files/ENCFF487XUM/		ENCBS874HID	1	1		Homo sapiens	adult	51 years												/replicates/8c825033-47e6-4659-8b02-0b399fab0435/				
/experiments/ENCSR058OSL/	ENCSR058OSL	polyA plus RNA-seq	polyA plus RNA-seq				Homo sapiens HepG2 nuclear fraction	HepG2	GEO:GSE87996	Initial nucleus fractions on HepG2 Long Poly-A+ from Lecuyer	Eric Lécuyer, IRCM	ENCODE	released	/files/ENCFF952OLL/,/files/ENCFF252KFX/,/files/ENCFF710WZN/,/files/ENCFF629KRN/,/files/ENCFF348DWN/,/files/ENCFF303CTY/,/files/ENCFF582ZNM/,/files/ENCFF883MYP/,/files/ENCFF224OFD/,/files/ENCFF169GTL/,/files/ENCFF426GDC/,/files/ENCFF175GCJ/,/files/ENCFF379LYZ/,/files/ENCFF638KPA/,/files/ENCFF943FKA/,/files/ENCFF407NFR/,/files/ENCFF428FRQ/,/files/ENCFF005BKZ/,/files/ENCFF678HUP/,/files/ENCFF376YGG/,/files/ENCFF670AUG/,/files/ENCFF440VYJ/,/files/ENCFF126PQC/,/files/ENCFF509GYU/,/files/ENCFF733CFF/,/files/ENCFF865ZVG/,/files/ENCFF267WGY/,/files/ENCFF250CRC/,/files/ENCFF400PAQ/,/files/ENCFF152IWN/,/files/ENCFF344JBY/,/files/ENCFF776GUR/,/files/ENCFF179DDO/,/files/ENCFF751EAB/,/files/ENCFF683BYB/,/files/ENCFF800OKG/,/files/ENCFF090YXO/,/files/ENCFF210FWG/,/files/ENCFF814NXV/,/files/ENCFF923RZX/,/files/ENCFF100VUX/,/files/ENCFF856SMT/,/files/ENCFF103KJN/,/files/ENCFF637SYW/,/files/ENCFF603EXV/,/files/ENCFF668DAS/,/files/ENCFF367QJC/,/files/ENCFF698XDE/,/files/ENCFF775BXP/,/files/ENCFF993NLZ/,/files/ENCFF349PPC/,/files/ENCFF932IFS/,/files/ENCFF680TVV/,/files/ENCFF029OPV/		ENCBS055KDL,ENCBS296VMM	1,2	1		Homo sapiens	child	15 years												/replicates/4af73cd6-2a45-4cd8-8e89-aab0740f9ec9/,/replicates/1c67e7b6-d10e-48b8-a82e-82e511dc43b8/		nucleus		
/experiments/ENCSR094GVZ/	ENCSR094GVZ	RNA-seq	total RNA-seq				Homo sapiens sigmoid colon tissue female adult (53 years)	sigmoid colon	GEO:GSE88023	The libraries contained in this Experiment come from tissue sub-sections from the sigmoid colon obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF843WIP/,/files/ENCFF678UYJ/,/files/ENCFF626FPH/,/files/ENCFF293RID/,/files/ENCFF067EFY/,/files/ENCFF783AII/,/files/ENCFF390MSW/,/files/ENCFF260NXQ/,/files/ENCFF365ZMW/,/files/ENCFF983MGA/,/files/ENCFF840EPA/,/files/ENCFF621XZU/,/files/ENCFF997GAE/,/files/ENCFF964APS/,/files/ENCFF173WLO/,/files/ENCFF179AVF/,/files/ENCFF042HLU/,/files/ENCFF022TLO/,/files/ENCFF779RGY/,/files/ENCFF035CWS/,/files/ENCFF160TNB/,/files/ENCFF243NEG/,/files/ENCFF387UUZ/,/files/ENCFF152FAC/,/files/ENCFF056CEY/,/files/ENCFF084REX/,/files/ENCFF737ABT/	/reference-epigenomes/ENCSR233CXK/	ENCBS581JIS	1	1		Homo sapiens	adult	53 years												/replicates/d63f99e7-36f1-4f40-b07a-7a89682c8a70/				
/experiments/ENCSR354QPN/	ENCSR354QPN	RNA-seq	total RNA-seq				Homo sapiens esophagus squamous epithelium tissue male adult (37 years)	esophagus squamous epithelium	GEO:GSE88214	The libraries contained in this Experiment come from tissue sub-sections from the mucosa of the esophagus obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF230GLF/,/files/ENCFF585TOW/,/files/ENCFF773WSO/,/files/ENCFF184IVK/,/files/ENCFF529MCL/,/files/ENCFF675BWU/,/files/ENCFF676OTF/,/files/ENCFF085LLO/,/files/ENCFF615JLW/,/files/ENCFF855FBB/,/files/ENCFF140PAJ/,/files/ENCFF620CSS/,/files/ENCFF012HSH/,/files/ENCFF035XWP/,/files/ENCFF938DDA/,/files/ENCFF495CPY/,/files/ENCFF301YAH/,/files/ENCFF749QWY/,/files/ENCFF402ARL/,/files/ENCFF249NNE/,/files/ENCFF634YXO/,/files/ENCFF772WLX/,/files/ENCFF736SRJ/,/files/ENCFF187QYU/,/files/ENCFF115HFG/,/files/ENCFF502KTX/,/files/ENCFF658HRS/	/reference-epigenomes/ENCSR284DRW/	ENCBS903FMK	1	1		Homo sapiens	adult	37 years												/replicates/38ab05be-2eb5-4e8a-b788-1926575864a6/				
/experiments/ENCSR226KML/	ENCSR226KML	RNA-seq	total RNA-seq				Homo sapiens right lobe of liver tissue female adult (53 years)	right lobe of liver	GEO:GSE88121	The libraries contained in this Experiment come from tissue sub-sections of a 53 year old female's liver tissue section obtained from GTEx. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	/files/ENCFF906OKN/,/files/ENCFF483AGL/,/files/ENCFF731YTA/,/files/ENCFF562KEV/,/files/ENCFF989PJN/,/files/ENCFF298ZSO/,/files/ENCFF886XKL/,/files/ENCFF086GFD/,/files/ENCFF500XEI/,/files/ENCFF770QIQ/,/files/ENCFF274IYL/,/files/ENCFF538JRY/,/files/ENCFF012UWT/,/files/ENCFF722HIS/,/files/ENCFF387LRI/,/files/ENCFF916MMC/,/files/ENCFF347TXW/,/files/ENCFF961YFR/,/files/ENCFF151QKN/,/files/ENCFF142RGB/,/files/ENCFF852PSJ/,/files/ENCFF481ZPW/,/files/ENCFF103EZF/,/files/ENCFF894FHO/,/files/ENCFF998IFH/,/files/ENCFF862TJR/,/files/ENCFF641ADT/		ENCBS773RMK	1	1		Homo sapiens	adult	53 years												/replicates/6313d8c4-0f05-416a-ae3d-94b67717c051/				
/experiments/ENCSR084JIA/	ENCSR084JIA	RNA-seq	total RNA-seq				Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 1 hour	dendritic cell	GEO:GSE94165	Ovation Human FFPE RNA-Seq Multiplex System	Manuel Garber, UMass	GGR	released	/files/ENCFF071TOB/,/files/ENCFF011GZK/,/files/ENCFF708ZUJ/,/files/ENCFF587BGN/,/files/ENCFF360LVU/,/files/ENCFF364JYR/,/files/ENCFF055LLK/,/files/ENCFF211ZEC/,/files/ENCFF257XZU/,/files/ENCFF305ZMW/,/files/ENCFF170ELC/,/files/ENCFF074SOM/,/files/ENCFF216GIB/		ENCBS913SBA	1	1		Homo sapiens	unknown		lipopolysaccharide	CHEBI:16412	100	ng/mL	1	hour						/replicates/ee81937e-235e-49b1-bf83-663e39014e1b/				
