,Mapping Rate,Base Mismatch,End 1 Mapping Rate,End 2 Mapping Rate,End 1 Mismatch Rate,End 2 Mismatch Rate,Expression Profiling Efficiency,High Quality Rate,Exonic Rate,Ambiguous Alignment Efficiency,Avg. Splits per Read,Alternative Alignments,Chimeric Alignment Rate,Total Reads,Read Length,Min Genes Detected,Max Genes Detected
AA02-Tumor-SM-5LB98,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
AA13-Tumor-SM-GXH5W,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
AA22-Tumor-SM-ALFLY,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
AA45-Tumor-SM-EXXLQ,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
AA59-Tumor-SM-DE63O,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
AB018-Tumor-SM-GXH34,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False
AB035-Tumor-SM-HPY1S,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AA13-Tumor-SM-6DBPD,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AA22-Tumor-SM-ALFLX,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AA25-Tumor-SM-B4LHK,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AB002-Tumor-SM-5LB1D,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AB002-Tumor-SM-5LB1O,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-AB016-Tumor-SM-9QQCX,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-BT584-Tumor-SM-5CUQF,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-BT607-Tumor-SM-5CUQR,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-JL37-Tumor-SM-7HEVC,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_Mix_RNASeq_June2016-PEDS117-Tumor-SM-ACMZA,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_PEDS1034-Tumor-SM-HUQMU,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False
CCLF_PEDS1037-Tumor-SM-HUQMS,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_PEDS1041-Tumor-SM-HUQN4,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False
CCLF_PEDS1083-Tumor-SM-HUQNP,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CCLF_RCRF1009-Tumor-SM-HPY1O,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False
CY002-Tumor-SM-B21KX,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CY003-Tumor-SM-C1AHL,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DW020-Tumor-SM-E8WFU,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
DW023-Tumor-SM-E8WFV,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
JL50-Tumor-SM-AYSAM,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
JL56-Tumor-SM-CTTUZ,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS005-Tumor-SM-GXIAA,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS018-Tumor-SM-6M6IM,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
PEDS030-Tumor-SM-GBCD3,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True
PEDS071-Tumor-SM-HUQN3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS1012-Tumor-SM-GBCD2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS149-Tumor-SM-AUNSL,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS157-Tumor-SM-B5FXU,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
PEDS172-Tumor-SM-GXK36,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False
PEDS187-Tumor-SM-CY8E5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RNAseq_05262017-PEDS014-Normal-SM-5LB5L,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RNAseq_05262017-PEDS014-Tumor-SM-5LB5R,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RNAseq_05262017-RH28-Tumor-SM-E9AWQ,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
RNAseq_05262017-RMS13-Tumor-SM-E9AWP,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
RP-571_CCLF_KL1023T_v2_RNA_OnPrem,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RP-571_CY018T_v2_RNA_OnPrem,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RP-571_DW036T_v2_RNA_OnPrem,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
